index,poziom,session_id,status,liczba_promptow,izolacja_kontekstu,pytania,liczba_tool_calls,tools,tool_failures,uwaga
1,Łatwe,019ed5b1-cef6-7000-a1ff-dd4638457af9,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,"Where is the divide function defined, and what does it return?",1,search_file,0,"Poprawna ścieżka i typ zwrotny. Odpowiedź jest minimalna; nie wyjaśnia wprost, że wynikiem jest iloraz a / b."
2,Łatwe,019ed5b1-f3fd-7000-bd97-2ff04f895068,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Find the definition of normalize_text and explain what transformations it applies to the input.,2,search_file -> read_file,0,"Poprawne znalezienie definicji oraz pełne wyjaśnienie strip, normalizacji whitespace i lower()."
3,Łatwe,019ed5b2-5960-7000-8b77-be572922863f,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Where is the User class defined? List all of its fields and their default values.,2,search_file -> read_file,0,"Poprawna lokalizacja, komplet pól i domyślna wartość active=True."
4,Łatwe,019ed5b2-a210-7000-ba68-dd3ab05ba8a2,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Find the find_by_email method and explain whether the email comparison is case-sensitive.,2,search_file -> read_file,0,Poprawnie rozpoznano porównanie case-insensitive i pokazano właściwą implementację.
5,Łatwe,019ed5b3-029d-7000-a9f7-f03499f0286d,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,"Where is UserRepository defined, and how does it store users internally?",2,list_files -> read_file,0,"Poprawna definicja i wewnętrzny dict[int, User]. list_files + read_file użyte właściwie."
6,Łatwe,019ed5b3-484c-7000-995e-50dbae8327ef,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Find the test that verifies division by zero. What exception does it expect?,3,list_files -> list_files -> read_file,0,Poprawnie wskazano test_divide_by_zero i ZeroDivisionError.
7,Łatwe,019ed5b3-84f5-7000-94d9-36a1c680eaa2,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Which functions and classes are exported from the example package?,2,list_files -> read_file,0,Poprawna lista symboli zadeklarowanych w __all__.
8,Łatwe,019ed5b3-d172-7000-abd5-c77fa07e51f8,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Find the project configuration that tells pytest where to look for tests and source files.,2,list_files -> read_file,0,Poprawnie odczytano testpaths i pythonpath z pyproject.toml.
9,Łatwe,019ed5b4-88c2-7000-8edb-06f73d584597,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,"Where is find_keyword defined, and what value does it return?",1,search_file,0,Poprawna lokalizacja i typ bool.
10,Łatwe,019ed5b4-cda9-7000-ba35-52ba40362216,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Find the function that returns only active users.,2,list_files -> read_file,0,Poprawnie wskazano UserRepository.list_active i warunek user.active.
11,Średnie,019ed5b5-055a-7000-ac27-49acd52b7e0c,PARTIAL,1,świeża sesja; brak kontekstu poprzednich pytań,Find every place where the divide function is imported or called. Separate production code from tests.,1,search_file,0,"Wszystkie istotne importy i wywołania znalezione, ale odpowiedź miesza je z definicją, tekstem wyjątku, nazwami testów i wpisem w __all__. Brak precyzyjnej klasyfikacji trafień."
12,Średnie,019ed5b5-83f6-7000-9802-7fdab8e674e0,PARTIAL,1,świeża sesja; brak kontekstu poprzednich pytań,Find every place where UserRepository is instantiated. Return exact file paths and surrounding function or test names.,1,search_file,0,"Znaleziono wszystkie 5 instancjacji, lecz nie podano wymaganych nazw funkcji/testów; użyto niepewnych sformułowań „likely”."
13,Średnie,019ed5b9-76c1-7000-8c3d-32e373bb83aa,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Find all tests related to UserRepository and summarize which repository behaviors are covered.,3,list_files -> read_file -> read_file,0,Kompletne i poprawne podsumowanie czterech zachowań pokrytych przez tests/test_users.py.
14,Średnie,019ed5b9-cb3b-7000-a8dd-8252ef04b3f2,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,"Trace the execution of count_words(""Agentic CLI search example"") from main.py to the final returned value. Include every project function called along the way.",3,list_files -> read_file -> read_file,0,"Pełny trace main -> count_words -> normalize_text, z poprawnym wynikiem 4."
15,Średnie,019ed5ba-4911-7000-bea2-5d104f19f7e4,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,"Find every place where a User object is created. For each instance, list the provided values and whether active is explicit or uses the default.",8,list_files -> search_file -> search_file -> read_file -> search_file -> search_file -> list_files -> search_file,0,Poprawnie znaleziono 8 konstrukcji User i rozróżniono active domyślne/explicit. Agent odzyskał wynik po nieskutecznych zapytaniach regexowych.
16,Średnie,019ed5bb-1732-7000-9593-6ba22f28c69d,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,"Which functions from calculator.py are exposed through the package root, and which tests cover each function?",4,list_files -> read_file -> read_file -> read_file,0,"Poprawne mapowanie add/subtract/multiply/divide do testów, w tym dwóch testów divide."
17,Średnie,019ed5bc-278c-7000-947d-d90d313bde4a,PARTIAL,1,świeża sesja; brak kontekstu poprzednich pytań,Find all code paths that can raise an exception in this project. State the exception type and triggering condition.,5,list_files -> read_file -> read_file -> read_file -> read_file,0,"Dwie jawne ścieżki wyjątków są poprawne. Sekcja „implicit exceptions” zawiera nadinterpretacje: dataclass nie waliduje typów z adnotacji, a nienumeryczne argumenty nie zawsze muszą powodować TypeError."
18,Średnie,019ed5bc-82e2-7000-87ce-0c7965e6769d,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Compare normalize_text and find_keyword. Do they implement case-insensitive behavior in the same way?,4,list_files -> search_file -> search_file -> read_file,0,Poprawnie wskazano wspólne użycie lower() i różnicę między normalizacją a porównaniem.
19,Średnie,019ed5bd-14af-7000-af6c-ff8ebe71410e,PARTIAL,1,świeża sesja; brak kontekstu poprzednich pytań,Find all uses of list_active. Which users are expected to be returned in each context?,4,search_file -> read_file -> read_file -> read_file,0,Właściwe użycia w main i teście oraz poprawni oczekiwani użytkownicy. Definicję metody błędnie policzono jako trzeci „use context”.
20,Średnie,019ed5bd-abd4-7000-9cf1-b5ebc6ff1fe7,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Which public function defined in text_utils.py is not exported from example/init.py? Is it tested or used elsewhere?,4,list_files -> read_file -> read_file -> read_file,0,"Merytorycznie poprawne: find_keyword nie jest eksportowany, ale jest testowany. W odpowiedzi wyciekł znacznik „thought <channel|>”, co wymaga sanitizacji outputu."
21,Średnie,019ed5be-9819-7000-9033-62c59b150671,PARTIAL,2,świeża sesja; brak kontekstu poprzednich pytań,Find all assertions involving UserRepository methods and map each assertion to the method it verifies. || List every source module and its corresponding test module. Identify any source module that has no direct test file.,4,list_files -> search_file -> read_file -> list_files,0,Sesja zawiera dwa różne pytania. Mapowanie asercji jest poprawne; mapowanie modułów pomija src/example/__init__.py jako moduł źródłowy bez bezpośredniego testu.
22,Złożone,019ed5c0-8297-7000-9d06-d9b12d0fbbe0,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,"Starting from main(), build the complete project-level call graph. Include nested calls such as methods or helper functions, but exclude Python standard-library internals.",5,list_files -> read_file -> read_file -> read_file -> read_file,0,"Kompletny call graph z UserRepository.__init__, User, add, divide, list_active, count_words i normalize_text."
23,Złożone,019ed5c0-ea0a-7000-85d1-982cd9687d41,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,"Starting from main(), build the complete project-level call graph. Include nested calls such as methods or helper functions, but exclude Python standard-library internals.",5,list_files -> read_file -> read_file -> read_file -> read_file,0,Druga niezależna próba call graph również poprawna — dobry sygnał stabilności.
24,Złożone,019ed5c1-3a2d-7000-99c8-4e977667a7df,PARTIAL,1,świeża sesja; brak kontekstu poprzednich pytań,"Find every place where UserRepository is instantiated, directly or indirectly. Do not invent files or usages. Return an exhaustive list with evidence.",8,list_files -> search_file -> search_file -> read_file -> search_file -> read_file -> read_file -> read_file,0,Wszystkie bezpośrednie instancjacje są poprawne. Importy i re-exporty zostały jednak przedstawione jako „indirect usage/exposure”; nie są to pośrednie instancjacje.
25,Złożone,019ed5c1-dfed-7000-a086-4cecaf9cef00,PASS,2,świeża sesja; brak kontekstu poprzednich pytań,"Determine the exact console output produced by running main.py. Explain how each line is computed and note any representation details that depend on dataclasses. || Perform a test-coverage gap analysis for UserRepository. List all branches and behaviors in the implementation, identify which are tested, and propose only the missing tests.",9,list_files -> read_file -> read_file -> read_file -> read_file -> read_file -> list_files -> read_file -> read_file,0,Sesja zawiera dwa różne pytania. Exact console output jest poprawny; analiza luk UserRepository poprawnie rozróżnia zachowania pokryte i brakujące oraz proponuje brakujące testy.
26,Złożone,019ed5c2-dfb5-7000-9de1-a5faaac5376e,FAIL,1,świeża sesja; brak kontekstu poprzednich pytań,"Perform a test-coverage gap analysis for text_utils.py. Consider empty strings, whitespace, casing, repeated spaces, keyword absence, and empty keywords. Distinguish tested behavior from inferred behavior.",0,,0,Brak jakiegokolwiek narzędzia. Agent prosi o kod mimo dostępnego workspace i zwraca ogólny framework niezwiązany z konkretną implementacją/testami.
27,Złożone,019ed5c3-997c-7000-b822-1a6c6aa3c42f,FAIL,1,świeża sesja; brak kontekstu poprzednich pytań,"Find all symbols that are part of the package’s declared public API. For each symbol, provide its definition, re-export location, usages, and tests.",3,list_files -> read_file -> read_file,0,"Odczytano tylko __init__.py i calculator.py. Odpowiedź fałszywie twierdzi, że add/subtract/multiply są używane w main.py, a count_words nie ma użyć; brak dowodów dla users.py i testów."
28,Złożone,019ed5c4-4534-7000-88bc-1b04bca08c51,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Analyze whether all imports in the source and test files are necessary. Identify unused imports only when supported by the code.,8,list_files -> read_file -> read_file -> read_file -> read_file -> read_file -> read_file -> read_file,0,Poprawna analiza wszystkich importów; brak fałszywych unused imports.
